SMStation,SMLatitude,SMLongitude,SMVs30,Location,PGA_2017Jul06_M6.5_4KM,PGA_2020Jan05_M5.4_10KM,PGA_2023Jan15_M4.7_1KM
LYAB,10.7384,124.974,205.426,"Abuyog, Leyte",0.006526184,0.002957177,
LYAP,11.05774,124.5643,235.98,,0.006526184,0.047416804,
LYCN,11.05774,124.5896,389.983,,0.007953786,0.063426348,
LYKN,11.1842,124.5622,362.052,"Kananga, Leyte",,0.058837625,0.052413413
LYLY,11.37085,124.4869,364.004,"Leyte, Leyte",,0.298165021,0.416044215
LYMB,11.02816,124.5153,560.485,,0.005200553,0.036097954,
LYMH,10.6054,124.9648,206.98,"Mahaplag, Leyte",0.000713801,0.002549291,
LYML,11.08948,124.6469,459.069,"Milagro, Ormoc, Leyte",0.003365064,0.036097954,0.006424212
LYOC,11.01399,124.6044,301.143,"Ormoc, Leyte",0.006424212,0.035282181,0.004690695
PLPA,11.16486,124.9786,328.401,"Palo, Seismic Station",,0.001937461,
